C,,,,
سليب,نصفكم,شورت,سبور,المقاس
------,191,------,170,22
------,222,------,191,24
136,253,183,214,26
158,284,214,237,28
180,315,245,260,30
203,346,276,283,32
225,377,305,305,34
247,408,334,327,36
269,439,363,349,38
291,471,392,371,40
313,503,421,393,42
335,535,470,415,44
370,575,515,440,46
405,625,560,480,48
440,680,605,520,50
475,730,650,560,52
510,780,695,600,54
545,830,740,640,56
